state,county,population,age_group,gender_name
Connecticut,Litchfield,181111,All Ages,Other
Connecticut,Litchfield,89551,All Ages,Male
Connecticut,Litchfield,91560,All Ages,Female
Connecticut,Litchfield,7493,Age 0 to 4 years,Other
Connecticut,Litchfield,3808,Age 0 to 4 years,Male
Connecticut,Litchfield,3685,Age 0 to 4 years,Female
Connecticut,Litchfield,8500,Age 5 to 9 years,Other
Connecticut,Litchfield,4430,Age 5 to 9 years,Male
Connecticut,Litchfield,4070,Age 5 to 9 years,Female
Connecticut,Litchfield,10126,Age 10 to 14 years,Other
Connecticut,Litchfield,5147,Age 10 to 14 years,Male
Connecticut,Litchfield,4979,Age 10 to 14 years,Female
Connecticut,Litchfield,10627,Age 15 to 19 years,Other
Connecticut,Litchfield,5571,Age 15 to 19 years,Male
Connecticut,Litchfield,5056,Age 15 to 19 years,Female
Connecticut,Litchfield,9725,Age 20 to 24 years,Other
Connecticut,Litchfield,5029,Age 20 to 24 years,Male
Connecticut,Litchfield,4696,Age 20 to 24 years,Female
Connecticut,Litchfield,9495,Age 25 to 29 years,Other
Connecticut,Litchfield,5019,Age 25 to 29 years,Male
Connecticut,Litchfield,4476,Age 25 to 29 years,Female
Connecticut,Litchfield,9398,Age 30 to 34 years,Other
Connecticut,Litchfield,4816,Age 30 to 34 years,Male
Connecticut,Litchfield,4582,Age 30 to 34 years,Female
Connecticut,Litchfield,9626,Age 35 to 39 years,Other
Connecticut,Litchfield,4839,Age 35 to 39 years,Male
Connecticut,Litchfield,4787,Age 35 to 39 years,Female
Connecticut,Litchfield,9299,Age 40 to 44 years,Other
Connecticut,Litchfield,4564,Age 40 to 44 years,Male
Connecticut,Litchfield,4735,Age 40 to 44 years,Female
Connecticut,Litchfield,12158,Age 45 to 49 years,Other
Connecticut,Litchfield,5900,Age 45 to 49 years,Male
Connecticut,Litchfield,6258,Age 45 to 49 years,Female
Connecticut,Litchfield,14709,Age 50 to 54 years,Other
Connecticut,Litchfield,7221,Age 50 to 54 years,Male
Connecticut,Litchfield,7488,Age 50 to 54 years,Female
Connecticut,Litchfield,15970,Age 55 to 59 years,Other
Connecticut,Litchfield,7855,Age 55 to 59 years,Male
Connecticut,Litchfield,8115,Age 55 to 59 years,Female
Connecticut,Litchfield,15483,Age 60 to 64 years,Other
Connecticut,Litchfield,7667,Age 60 to 64 years,Male
Connecticut,Litchfield,7816,Age 60 to 64 years,Female
Connecticut,Litchfield,12389,Age 65 to 69 years,Other
Connecticut,Litchfield,6109,Age 65 to 69 years,Male
Connecticut,Litchfield,6280,Age 65 to 69 years,Female
Connecticut,Litchfield,10004,Age 70 to 74 years,Other
Connecticut,Litchfield,4735,Age 70 to 74 years,Male
Connecticut,Litchfield,5269,Age 70 to 74 years,Female
Connecticut,Litchfield,6827,Age 75 to 79 years,Other
Connecticut,Litchfield,3207,Age 75 to 79 years,Male
Connecticut,Litchfield,3620,Age 75 to 79 years,Female
Connecticut,Litchfield,4282,Age 80 to 84 years,Other
Connecticut,Litchfield,1844,Age 80 to 84 years,Male
Connecticut,Litchfield,2438,Age 80 to 84 years,Female
Connecticut,Litchfield,5000,Age 85 years and older,Other
Connecticut,Litchfield,1790,Age 85 years and older,Male
Connecticut,Litchfield,3210,Age 85 years and older,Female
Connecticut,Litchfield,32933,Under 18 years,Other
Connecticut,Litchfield,16924,Under 18 years,Male
Connecticut,Litchfield,16009,Under 18 years,Female
Connecticut,Litchfield,16484,5 to 13 years,Other
Connecticut,Litchfield,8479,5 to 13 years,Male
Connecticut,Litchfield,8005,5 to 13 years,Female
Connecticut,Litchfield,8956,14 to 17 years,Other
Connecticut,Litchfield,4637,14 to 17 years,Male
Connecticut,Litchfield,4319,14 to 17 years,Female
Connecticut,Litchfield,109676,18 to 64 years,Other
Connecticut,Litchfield,54942,18 to 64 years,Male
Connecticut,Litchfield,54734,18 to 64 years,Female
Connecticut,Litchfield,13538,18 to 24 years,Other
Connecticut,Litchfield,7061,18 to 24 years,Male
Connecticut,Litchfield,6477,18 to 24 years,Female
Connecticut,Litchfield,37818,25 to 44 years,Other
Connecticut,Litchfield,19238,25 to 44 years,Male
Connecticut,Litchfield,29677,45 to 64 years,Female
Connecticut,Litchfield,18580,25 to 44 years,Female
Connecticut,Litchfield,58320,45 to 64 years,Other
Connecticut,Litchfield,28643,45 to 64 years,Male
Connecticut,Litchfield,38502,65 years and over,Other
Connecticut,Litchfield,17685,65 years and over,Male
Connecticut,Litchfield,20817,65 years and over,Female
Connecticut,Litchfield,5000,85 years and over,Other
Connecticut,Litchfield,1790,85 years and over,Male
Connecticut,Litchfield,3210,85 years and over,Female
Connecticut,Litchfield,152839,16 years and over,Other
Connecticut,Litchfield,75048,16 years and over,Male
Connecticut,Litchfield,77791,16 years and over,Female
Connecticut,Litchfield,148178,18 years and over,Other
Connecticut,Litchfield,72627,18 years and over,Male
Connecticut,Litchfield,75551,18 years and over,Female
Connecticut,Litchfield,58170,15 to 44 years,Other
Connecticut,Litchfield,29838,15 to 44 years,Male
Connecticut,Litchfield,28332,15 to 44 years,Female
Connecticut,Litchfield,48,Median age,Other
Connecticut,Litchfield,47,Median age,Male
Connecticut,Litchfield,49,Median age,Female
